ID,CLASS,TITLE,SUBJECTS
000004169001,N 5300 .G6419/S26,Sanat?n öyküsü = The story of art,"Art--History
Sanat--Tarih"
000007392001,PK 6418 .H35/M84,Mughal poetry : its cultural and historical value,"Persian Poetry--Mogul Empire--History and Criticism
Fars ?iiri--Mo?ul ?mparatorlu?u--Tarih ve Ele?tiri"
000007458001,PT 2653 .W42/K67,Korku ruhu kemirir,"German Literature
Alman Edebiyat?"
000021617001,QC 171.2 .D36/E68,"Equations of eternity : speculations on consciousness, meaning, and the mathematical rules that orchestrate the cosmos","Matter--Mathematics
Science--Mathematics
Brain
Cosmology
Consciousness
Madde--Matematik
Bilim--Matematik
Beyin
Kozmoloji
Bilinç
"
000022954001,QH 11 .D2/V69,The voyage of the Beagle,"Natural History
Geology
Do?al Tarih
Co?rafya"
000023798001,QC 449 .T35/H65,The holographic universe,"Holography--Philosophy
Physics--Philosophy
Mysticism
Reality
Neurophysiology
Holografi--Felsefe
Fizik--Felsefe
Mistisizm
Gerçeklik
"
000031129001,CT 9971 .M38/K73,Into the wild,"Mccandless, Christopher Johnson, 1968-1992
Adventure and Adventurers--United States--Biography
Alaska--Biography
West (US)--Biography
Macera ve Macerac?lar--Birle?ik Devletler--Biyografi
Alaska--Biyografi
Bat? (Birle?ik Devletler)--Biyografi"
000051660001,KKX 2064.51876 .C39/A539,Anayasa notlar?,"Constitutions--Turkey
Constitutional Law
Anayasalar--Türkiye
Anayasa Hukuku"
000051685001,DS 63.2 .T8/K87,Türkiye'nin Arap Orta Do?usu'na kar?? politikas? (1945-1970),"Turkey--Foreign Relations--Arab Countries
Arab Countries--Foreign Relations--Turkey
Türkiye--D?? ?li?kiler--Arap Ülkeleri
Arap Ülkeleri--D?? ?li?kiler--Türkiye"
000051731001,DR 592 .K4/G66,Atatürk ve Türkiyenin d?? politikas? (1919-1938),"Atatürk, Mustafa Kemal, 1881-1938
Turkey--Foreign Relations
Türkiye--D?? ?li?kiler"
000052510001,NK 1465 .A1/B573,Türk tezyînî sanatlar?nda motifler = Motifs in Turkish decorative arts,"Decoration and Ornament--Turkey--Themes, Motives--Technique
Decorative Arts--Turkey--Themes, Motives--Technique
Decorative Arts--Turkey--Design
Decorative Arts--Turkey--Technique
Repetitive Patterns (Decorative Arts)--Turkey--Technique
Decorative Arts--Color--Turkey
Color in Design
Dekorasyon ve Süsleme--Türkiye--Temalar, Motifler--Teknik
Dekoratif Sanatlar--Türkiye--Temalar, Motifler--Teknik
Dekoratif Sanatlar--Türkiye--Tasar?m
Dekoratif Sanatlar--Türkiye--Teknik
Tekrarlamal? Örnekler (Dekoratif Sanatlar)--Türkiye--Teknik
Dekoratif Sanatlar--Renk--Türkiye
Renk, Tasar?mda"
